Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
1,RMCF0402FT49R9,Stackpole Electronics,RMCF0402FT49R9,https://octopart.com/rmcf0402ft49r9-stackpole+electronics-19212545,R1,,49.9,1,RMCF0402FT49R9CT-ND,,Cut Tape,,0.1,,394820,,1,,https://octopart.com/click/track?ai=8237&sig=037e79e&sid=459&ppid=19212545&vpid=34419988&ct=offers,,Arrow Electronics,RMCF0402FT49R9,Cut Tape,0.0485,0.0485,0.0485,138,1,https://octopart.com/click/track?ai=8237&sig=0a0d14d&sid=1106&ppid=19212545&vpid=473442177&ct=offers,
1,73415-2061,Molex,73415-2061,https://octopart.com/73415-2061-molex-1430368,P1,,73415-2061,1,WM5560-ND,538-73415-2061,Bag,Bulk,1.94,2.41,30569,12785,1,1,https://octopart.com/click/track?ai=8237&sig=0327f4c&sid=459&ppid=1430368&vpid=114393716&ct=offers,https://octopart.com/click/track?ai=8237&sig=00e2139&sid=2401&ppid=1430368&vpid=37665211&ct=offers,Arrow Electronics,73415-2061,,0.9177,0.9177,0.9177,5819,1,https://octopart.com/click/track?ai=8237&sig=07ab064&sid=1106&ppid=1430368&vpid=549076658&ct=offers,
1,DFE18SANR47MG0L,Murata,DFE18SANR47MG0L,https://octopart.com/dfe18sanr47mg0l-murata-85117269,L1,,0.47uH,1,490-16581-1-ND,81-DFE18SANR47MG0L,Cut Tape,Tape & Reel,0.55,0.53,5340,9896,1,1,https://octopart.com/click/track?ai=8237&sig=072d010&sid=459&ppid=85117269&vpid=441542472&ct=offers,https://octopart.com/click/track?ai=8237&sig=0985e1e&sid=2401&ppid=85117269&vpid=442042706&ct=offers,Arrow Electronics,DFE18SANR47MG0L,Cut Tape,0.4598,0.4598,0.4598,1321,1,https://octopart.com/click/track?ai=8237&sig=06360f7&sid=1106&ppid=85117269&vpid=473328577&ct=offers,
6,GRM155R62A104KE14D,Murata,GRM155R62A104KE14D,https://octopart.com/grm155r62a104ke14d-murata-51454467,"C21,C20,C9,C7,C5,C1",,0.1u,6,490-10458-1-ND,81-GRM155R62A104KE4D,Cut Tape,Tape & Reel,0.1,0.1,0,107015,1,1,https://octopart.com/click/track?c=1&ai=8237&sig=067fa30&sid=459&ppid=51454467&vpid=172161776&ct=offers,https://octopart.com/click/track?ai=8237&sig=0a89629&sid=2401&ppid=51454467&vpid=202849816&ct=offers,Arrow Electronics,GRM155R62A104KE14D,Cut Tape,0.095,0.5700000000000001,0.5700000000000001,14,1,https://octopart.com/click/track?ai=8237&sig=0d94e64&sid=1106&ppid=51454467&vpid=474338296&ct=offers,
2,CL05A475MO5NUNC,Samsung,CL05A475MO5NUNC,https://octopart.com/cl05a475mo5nunc-samsung-29718970,"C10,C6",,4.7u,2,1276-6836-1-ND,,Cut Tape,,0.41,,2571932,,1,,https://octopart.com/click/track?ai=8237&sig=027c3d4&sid=459&ppid=29718970&vpid=254259425&ct=offers,,Newark,82AC9197,Cut Tape,0.369,0.738,0.738,17863,1,https://octopart.com/click/track?ai=8237&sig=0f9f89c&sid=2402&ppid=29718970&vpid=511545267&ct=offers,
1,GRM1555C1E101JA01D,Murata,GRM1555C1E101JA01D,https://octopart.com/grm1555c1e101ja01d-murata-15197488,C8,,100p,1,490-14363-1-ND,81-GRM1555C1E101JA1D,Cut Tape,Tape & Reel,0.1,0.1,115906,77430,1,1,https://octopart.com/click/track?ai=8237&sig=0f5476f&sid=459&ppid=15197488&vpid=410305176&ct=offers,https://octopart.com/click/track?ai=8237&sig=0d3672d&sid=2401&ppid=15197488&vpid=228393178&ct=offers,Arrow Electronics,GRM1555C1E101JA01D,Cut Tape,0.095,0.095,0.095,4374,1,https://octopart.com/click/track?ai=8237&sig=0e13610&sid=1106&ppid=15197488&vpid=473331329&ct=offers,
1,GRJ21BC72A105KE11L,Murata,GRJ21BC72A105KE11L,https://octopart.com/grj21bc72a105ke11l-murata-60721748,C3,,1u,1,490-10918-1-ND,81-GRJ21BC72A105KE1L,Cut Tape,Tape & Reel,0.51,0.53,296635,377691,1,1,https://octopart.com/click/track?ai=8237&sig=06e1105&sid=459&ppid=60721748&vpid=214561950&ct=offers,https://octopart.com/click/track?ai=8237&sig=041086b&sid=2401&ppid=60721748&vpid=216196679&ct=offers,Arrow Electronics,GRJ21BC72A105KE11L,Cut Tape,0.4845,0.4845,0.4845,80,1,https://octopart.com/click/track?ai=8237&sig=03cf76f&sid=1106&ppid=60721748&vpid=475687699&ct=offers,
1,GRM1555C2A1R8CA01D,Murata,GRM1555C2A1R8CA01D,https://octopart.com/grm1555c2a1r8ca01d-murata-29782461,C2,,1.8p,1,490-7282-1-ND,81-GRM1555C2A1R8CA1D,Cut Tape,Tape & Reel,0.1,0.1,20440,20015,1,1,https://octopart.com/click/track?ai=8237&sig=0319773&sid=459&ppid=29782461&vpid=82001772&ct=offers,https://octopart.com/click/track?ai=8237&sig=03df7c8&sid=2401&ppid=29782461&vpid=218509960&ct=offers,Arrow Electronics,GRM1555C2A1R8CA01D,Cut Tape,0.095,0.095,0.095,6645,1,https://octopart.com/click/track?ai=8237&sig=08671bc&sid=1106&ppid=29782461&vpid=473331842&ct=offers,
1,GRM1555C2A1R5CA01D,Murata,GRM1555C2A1R5CA01D,https://octopart.com/grm1555c2a1r5ca01d-murata-29782460,,,,1,490-7281-1-ND,81-GRM1555C2A1R5CA1D,Cut Tape,Tape & Reel,0.1,0.1,16077,18258,1,1,https://octopart.com/click/track?ai=8237&sig=0339ae6&sid=459&ppid=29782460&vpid=82001769&ct=offers,https://octopart.com/click/track?ai=8237&sig=0914d8d&sid=2401&ppid=29782460&vpid=175732819&ct=offers,Arrow Electronics,GRM1555C2A1R5CA01D,Cut Tape,0.095,0.095,0.095,8300,1,https://octopart.com/click/track?ai=8237&sig=07aa671&sid=1106&ppid=29782460&vpid=473331840&ct=offers,
1,GRM1555C2A1R2CA01D,Murata,GRM1555C2A1R2CA01D,https://octopart.com/grm1555c2a1r2ca01d-murata-29782459,,,,1,490-7280-1-ND,81-GRM1555C2A1R2CA1D,Cut Tape,Tape & Reel,0.1,0.1,37528,48155,1,1,https://octopart.com/click/track?ai=8237&sig=0022e43&sid=459&ppid=29782459&vpid=82001766&ct=offers,https://octopart.com/click/track?ai=8237&sig=05cd849&sid=2401&ppid=29782459&vpid=202849764&ct=offers,Arrow Electronics,GRM1555C2A1R2CA01D,Cut Tape,0.095,0.095,0.095,19290,1,https://octopart.com/click/track?ai=8237&sig=0fa6114&sid=1106&ppid=29782459&vpid=473331839&ct=offers,
